id,details,time,time_request,score,preference,time2_request,time2,avg_match_score
rnorling105,,15,24.87,-1.927000000000001,2,18.6,20,1.07
rnorling105,,15,3.71,6.6,4,12.75,20,1.19
rnorling105,,15,29.34,-1.1169999999999998,4,13.57,20,2.28
rnorling105,,15,16.09,5.082000000000001,2,4.31,20,1.51
rnorling105,,15,28.38,1.438000000000001,2,5.06,20,2.85
rnorling105,,15,19.72,-1.0899999999999999,2,21.5,20,1.88
rnorling105,,15,19.05,-2.285,4,27.82,20,2.38
rnorling105,,15,29.89,-1.2409999999999997,2,11.76,20,1.77
rnorling105,,15,17.71,1.6589999999999998,2,15.1,20,3.01
rnorling105,,15,24.08,0.3390000000000008,2,12.61,20,2.23
rnorling105,,15,13.23,4.367999999999999,2,10.43,20,2.83
rnorling105,,15,16.04,1.628,4,19.1,20,4.35
rnorling105,,15,22.96,2.1039999999999996,4,8.52,20,1.24
rnorling105,,15,6.01,8.755,2,4.04,20,4.35
rnorling105,,15,11.88,3.864999999999999,2,13.05,20,2.22
rnorling105,,15,13.9,0.9570000000000001,2,22.45,20,4.81
rnorling105,,15,12.77,-0.9110000000000003,2,27.32,20,1.08
rnorling105,,15,7.89,4.0520000000000005,2,17.63,20,4.04
rnorling105,,15,7.81,6.094,2,9.77,20,2.34
rnorling105,,15,0.54,5.645999999999999,4,19.92,20,2.42
rnorling105,,15,8.4,0.6499999999999999,2,26.98,20,1.82
rnorling105,,15,14.65,3.774,4,12.69,20,3.38
rnorling105,,15,4.31,1.4730000000000008,2,29.38,20,3.4
rnorling105,,15,6.16,0.9439999999999996,2,29.78,20,4.13
rnorling105,,15,4.57,3.2200000000000006,2,23.31,20,3.42
rnorling105,,15,13.39,7.204,4,1.73,20,2.2
rnorling105,,15,17.85,-2.6340000000000003,2,27.95,20,1.03
rnorling105,,15,15.58,1.028,2,19.66,20,3.5
rnorling105,,15,19.52,-3.2039999999999997,2,28.54,20,1.57
rnorling105,,15,25.51,2.104,2,5.97,20,3.24
rnorling105,,15,26.05,0.4979999999999998,2,10.81,20,3.28
rnorling105,,15,5.19,5.612,2,13.25,20,1.22
rnorling105,,15,1.49,10.57,4,2.37,20,2.14
rnorling105,,15,8.24,3.153,2,18.47,20,1.33
rnorling105,,15,5.74,4.064,2,18.9,20,2.78
rnorling105,,15,15.23,0.72,2,20.43,20,2.59
rnorling105,,15,1.94,6.336,2,15.82,20,3.82
rnorling105,,15,25.09,3.9810000000000008,4,2.58,20,4.91
rnorling105,,15,8.62,7.629000000000001,2,5.39,20,4.66
rnorling105,,15,9.53,2.0170000000000003,4,24.48,20,4.6
rnorling105,,15,2.53,6.604,2,12.93,20,1.71
rnorling105,,15,7.38,2.8529999999999998,4,22.23,20,2.18
rnorling105,,15,10.22,1.3639999999999997,2,22.64,20,1.61
rnorling105,,15,8.1,3.4689999999999994,4,20.69,20,4.03
rnorling105,,15,19.22,-2.186,2,27.42,20,4.53
rnorling105,,15,6.96,7.899999999999999,4,5.62,20,1.87
rnorling105,,15,22.13,2.325,4,10.9,20,4.67
rnorling105,,15,28.56,4.440892098500626e-16,4,10.82,20,2.57
rnorling105,,15,18.8,-2.2129999999999996,2,28.13,20,4.83
rnorling105,,15,7.85,2.445,2,22.66,20,3.49
lkieff455,,20,24.87,2.092999999999999,5,18.6,25,3.17
lkieff455,,20,3.71,10.256,5,12.75,25,3.47
lkieff455,,20,29.34,2.147,5,13.57,25,2.6
lkieff455,,20,16.09,9.065999999999999,5,4.31,25,3.43
lkieff455,,20,28.38,4.364000000000001,3,5.06,25,1.48
lkieff455,,20,19.72,2.1640000000000006,3,21.5,25,2.15
lkieff455,,20,19.05,0.7849999999999997,5,27.82,25,1.73
lkieff455,,20,29.89,2.103,3,11.76,25,2.49
lkieff455,,20,17.71,4.507000000000001,1,15.1,25,3.25
