id,details,time,time_request,score,subject_1_rating,subject_1_pref,subject_2_rating,subject_2_pref,subject_3_rating,subject_3_pref,avg_match_score
jcarias640,,20,28.57,1.7461,2,5,2,5,3,4,1.171
jcarias640,,20,5.76,8.0036,3,1,4,5,3,1,3.316
jcarias640,,20,1.46,9.715,4,5,1,3,4,1,1.53
jcarias640,,20,9.55,7.6183,2,5,3,4,3,4,2.833
jcarias640,,20,21.16,4.5904,2,5,4,5,2,5,3.384
jcarias640,,20,0.63,9.8114,4,1,4,5,1,3,3.004
jcarias640,,20,8.34,8.395,3,4,4,5,2,5,2.97
jcarias640,,20,22.56,3.8667000000000007,3,4,3,4,2,5,4.347
jcarias640,,20,8.29,8.3529,3,4,4,5,2,5,2.399
jcarias640,,20,19.67,3.5827,4,1,1,3,3,4,4.837
jcarias640,,20,7.23,8.1448,3,4,3,4,4,1,3.138
jcarias640,,20,0.88,8.658,1,3,1,3,3,4,2.22
jcarias640,,20,25.7,2.965300000000001,3,4,3,4,2,5,4.753
jcarias640,,20,6.5,8.0666,4,1,4,5,3,1,3.166
jcarias640,,20,24.75,2.0592,3,1,2,5,1,3,4.842
jcarias640,,20,12.29,5.978000000000001,4,1,3,4,1,3,3.65
jcarias640,,20,16.7,6.2685,4,5,3,4,2,5,4.785
jcarias640,,20,18.28,4.6169,4,1,3,4,4,5,3.009
jcarias640,,20,7.8,7.8687000000000005,3,4,3,4,1,3,3.087
jcarias640,,20,21.38,3.3747000000000007,4,1,3,4,2,5,1.887
jcarias640,,20,2.02,10.995700000000001,4,5,4,5,4,5,2.017
jcarias640,,20,10.18,7.0665,4,5,1,3,4,1,1.205
jcarias640,,20,18.41,3.5853,4,1,3,1,3,1,4.083
jcarias640,,20,28.27,1.1985000000000003,2,5,1,3,3,1,3.795
jcarias640,,20,5.05,8.0067,1,3,3,4,3,4,2.217
jcarias640,,20,28.6,1.3833999999999995,3,4,1,3,3,4,3.634
jcarias640,,20,12.05,7.1201,3,4,4,5,1,3,4.351
jcarias640,,20,18.39,5.3245000000000005,3,4,4,5,3,4,2.415
jcarias640,,20,0.82,9.941799999999999,3,4,4,1,2,5,3.878
jcarias640,,20,21.23,4.5755,4,5,2,5,3,4,1.445
jcarias640,,20,9.8,6.5548,3,4,1,3,1,3,1.948
jcarias640,,20,28.09,2.3338,2,5,4,5,3,4,1.608
jcarias640,,20,25.35,2.8244,2,5,3,4,2,5,2.294
jcarias640,,20,28.26,1.5994,3,4,4,1,4,1,4.774
jcarias640,,20,12.67,6.770999999999999,4,5,1,3,3,4,3.72
jcarias640,,20,7.09,8.1608,2,5,4,1,3,4,4.878
jcarias640,,20,29.25,1.5565000000000002,3,4,3,4,4,1,3.315
jcarias640,,20,29.08,2.0913000000000004,4,5,1,3,4,5,4.153
jcarias640,,20,9.27,8.3291,4,5,2,5,3,4,3.101
jcarias640,,20,29.23,1.3485,2,5,3,4,4,1,1.175
jcarias640,,20,24.45,2.6443000000000008,4,1,3,4,2,5,3.793
jcarias640,,20,1.02,9.562100000000001,2,5,4,1,4,1,2.681
jcarias640,,20,6.85,7.9138,2,5,3,1,4,5,1.688
jcarias640,,20,16.96,5.9906999999999995,3,4,4,5,4,5,2.787
jcarias640,,20,29.1,1.5039999999999998,2,5,3,4,4,1,2.34
jcarias640,,20,29.25,2.0997000000000003,2,5,4,5,3,4,2.747
jcarias640,,20,14.68,5.9796000000000005,3,4,3,4,2,5,1.836
jcarias640,,20,10.86,6.982100000000001,2,5,4,1,2,5,4.401
jcarias640,,20,6.85,7.7761000000000005,3,1,3,4,4,5,3.311
